,0,1
608,plenty,1
609,pocketbook,3
610,point,7
611,pole,1
612,policies,1
613,policy,3
614,political,21
615,politically,1
616,politics,4
617,poor,1
618,population,1
619,position,4
620,possibly,1
621,potential,5
622,poverty,1
623,power,44
624,powerful,2
625,powers,1
626,pr-,1
627,practice,1
628,presidency,1
629,president,2
630,primary,1
631,principles,1
632,probably,4
633,problem,2
634,problems,2
635,process,9
636,product,1
637,products,2
638,products:,1
639,professional,1
640,prohibitionist,1
641,proposed,1
642,protects,1
643,prove,1
644,public,2
645,put,5
646,question,5
647,quickly,1
648,r:eally,1
649,race,3
650,race:,1
651,racial,1
652,rationale,1
653,raymond,1
654,read,2
655,reagan,1
656,real,1
657,realities,1
658,realize,1
659,really,1
660,reasons,1
661,recent,1
662,recently,1
663,recognition,1
664,recognized,3
665,regard,1
666,reinforcing,1
667,relational,2
668,relations,2
669,relative,2
670,remember,2
671,representation,1
672,representatives,1
673,represented,3
674,republican,1
675,responsibility,1
676,responsible,1
677,results,1
678,right,27
679,ronald,1
680,ronsteen-,1
681,ronstone,1
682,royal,1
683,royalty,2
684,rule,3
685,ruler,2
686,s-,2
687,s:ense,1
688,said,4
689,same,5
690,say,24
691,saying,6
692,saying:,1
693,says,1
694,scandal,1
695,school,1
696,schools,3
697,science,2
698,score,1
699,se,1
700,sector,1
701,see,3
702,seeing,1
703,seems,1
704,selling,2
705,sense,9
706,sent,1
707,serious,1
708,seventies,2
709,seventy,1
710,share,1
711,she,10
712,should,1
713,show,1
714,sick,1
715,since:,1
716,six2ty-eight,1
717,sixties,4
718,sixty,1
719,sixty-eight,1
720,smart,1
721,so,18
722,so-called,1
723,social,3
724,socialist,1
725,socialization,2
726,socioeconomic,1
727,some,15
728,some:,1
729,something,2
730,somewhat,3
731,sorry,1
732,sort,1
733,soviet,1
734,speaking,1
735,speech,1
736,sports,1
737,start,1
738,statement,3
739,statements,1
740,states,1
741,statistic,2
742,statistical,1
743,statistics,1
744,status,2
745,stems,1
746,steven,1
747,still,3
748,stop,2
749,story,1
750,streets,1
751,subject,3
752,substance,1
753,sufficient,1
754,superficial,1
755,supervisor,1
756,suppose,1
757,supposedly,3
758,supreme,1
759,sure,3
760,synonymous,2
761,system,12
762,system:,1
763,t-,1
764,taking,1
765,talk,3
766,talked,2
767,talking,6
768,talks,1
769,taught,1
770,teams,1
771,tell,6
772,tend,1
773,tendency,1
774,terms,5
775,th-,1
776,than,4
777,that,101
778,that's,15
779,the,157
780,the:,4
781,thei:r,1
782,their,7
783,them,1
784,themselves,1
785,then,2
786,there,11
787,there're,1
788,there's,9
789,there's-,1
790,these,10
791,they,35
792,they're,13
793,they're-,1
794,they've,1
795,thing,1
796,things,2
797,think,22
798,thirty,3
799,this,18
800,those,6
801,though,3
802,thousand,1
803,three,4
804,three-hundred-thousand,1
805,throat,1
806,through,5
807,tied,1
808,time,10
809,tired,1
810,to,66
811,to:,2
812,today,7
813,told,1
814,too,2
815,total,3
816,totem,1
817,towards,1
818,trade,1
819,treatment,1
820,trends,1
821,true,2
822,true:,1
823,trust,3
824,try,2
825,trying,7
826,tsk,1
827,turned,1
828,turning,1
829,turnout,1
830,twenty-five-thousand,1
831,two,10
832,two-party,2
833,type,1
834,u:m,9
835,u_s,1
836,uh,14
837,uh:,6
838,um,8
839,um:,1
840,unconventional,1
841,under,1
842,underline,1
843,underlying,1
844,underscore,1
845,understand,4
846,understandable,1
847,understanding,1
848,unh-unh,1
849,union,3
850,unions,1
851,united,2
852,university,1
853,up,2
854,us,7
855,using,1
856,utili:ze,1
857,v:ote,1
858,value,1
859,values,1
860,various,1
861,verba,2
862,versus,3
863,very,13
864,vi-,1
865,viet-,1
866,vietnam,6
867,virtues,1
868,vis,2
869,vote,18
870,voted,1
871,voter,4
872,votes,1
873,voting,5
874,w-,1
875,w:ar,1
876,wa-,1
877,wa:s,1
878,wanna,2
879,want,10
880,wants,2
881,war,2
882,was,13
883,washington,4
884,watergate,1
885,way,5
886,way:,1
887,ways,1
888,we,55
889,we'll,1
890,we're,13
891,we've,2
892,we:,1
893,wealth,3
894,week,2
895,well,13
896,went,1
897,were,18
898,whammy,1
899,what,57
900,what's,4
901,whatever,3
902,when,11
903,where,2
904,which,6
905,white,1
906,who,9
907,who's,1
908,who've,1
909,who:le,1
910,whole,5
911,why,22
912,will,4
913,with,19
914,without,3
915,wolfinger,1
916,won't,2
917,word,2
918,words,2
919,workers,3
920,workforce,1
921,world,6
922,would,14
923,write,1
924,x,2
925,xx,6
926,xxx,2
927,xxxx,1
928,y-,2
929,yeah,10
930,years,1
931,yes,3
932,yes:,1
933,yet,4
934,you,72
935,you're,12
936,you've,2
937,you:,1
938,you:r,1
939,young,1
940,your,11
941,youth,2
942,ʔa-,1
943,ʔat,1
944,ʔis,1
945,ʔthe,1
946,ʔuh,5
947,ʔw-,1
